sys_util,Alg_A,Alg_B
0.0,0.0,0.0
0.15,0.0,0.0
0.3,0.0,0.0
0.45,0.0,0.0
0.6,0.0,0.0
0.75,0.0,0.0
0.9,0.0,0.0
1.05,0.0,0.0
1.2,0.0,0.0
1.35,0.0,0.0
1.5,0.0,0.0
1.65,0.0,0.0
1.8,0.0,0.0
1.95,0.0,0.0
2.1,0.0,0.0
2.25,0.0,0.0
2.4,0.0,0.0
2.55,0.0,0.0
2.7,0.0,0.0
2.85,0.0,0.0
